SCaLE Budget 2014-2023,,"$1,782,900",Actual (20x),,Actual (19x),,,,Actual (18x),,Actual (17x),,Actual (16x),,Actual (15x),,Actual (14x),,Actual (13x),,Actual (12x),
Site24x7,2,"$12,000",Gold,"$6,000",Gold,"$6,000",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Arista Networks, Inc.",3,"$11,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,Gold,"$5,000",Silver,"$3,000"
Linux Journal,7,"$11,000",Media,"$2,000",None,$0,,,None,$0,Media,"$1,500",Media,"$1,500",Media,"$1,500",Media,"$1,500",Media,"$1,500",Media,"$1,500"
O'Reilly,2,"$11,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Gold,"$5,000",Gold,"$6,000",None,$0,None,$0
OpenSUSE,4,"$11,000",None,$0,Media,$500,,,None,$0,Special Event,"$2,000",None,$0,None,$0,Reception,"$3,500",Gold,"$5,000",None,$0
OpsGenie,2,"$11,000",None,$0,None,$0,,,None,$0,None,$0,Gold,"$6,000",Gold,"$5,000",None,$0,None,$0,None,$0
PostgreSQL,5,"$10,800",Silver,"$3,500",Silver,"$3,500",,,Speaker Track,"$1,500",None,$0,Speaker Track,"$1,500",None,$0,Speaker Track,$800,None,$0,None,$0
Linux Pro Magazine,7,"$10,500",None,$0,None,$0,,,Media,"$1,500",Media,"$1,500",Media,"$1,500",Media,"$1,500",Media,"$1,500",Media,"$1,500",Media,"$1,500"
CoreOS,1,"$10,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Platinum,"$10,000",None,$0,None,$0,None,$0
Instaclustr,3,"$10,000",Silver,"$3,500",Silver,"$3,500",,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Intel Corporation,2,"$10,000",Registration,"$5,000",Registration,"$5,000",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"GitHub, Inc.",3,"$9,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",Silver,"$3,000",None,$0
PogoLinux,3,"$9,500",None,$0,Silver,"$3,500",,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,Silver,"$3,000",None,$0
"Cisco Systems, Inc.",3,"$9,000",Gold,"$6,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,Special Event,"$2,000",Special Event,"$1,000",None,$0
"DataStax, Inc.",2,"$9,000",Gold,"$6,000",None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Humio,2,"$9,000",None,$0,Gold,"$6,000",,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Keycloud,2,"$9,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Gold,"$6,000",Silver,"$3,000",None,$0
Linux Academy,3,"$9,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",Silver,"$3,000",Silver,"$3,000",None,$0,None,$0
MariaDB,3,"$9,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",Silver,"$3,000",None,$0,Silver,"$3,000",None,$0,None,$0
PSSC Labs,3,"$9,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,None,$0
"Sonatype, Inc.",2,"$9,000",Gold,"$6,000",None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
StackIQ,2,"$9,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",Gold,"$6,000",None,$0,None,$0
Zabbix,3,"$9,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,None,$0
FreeBSD Foundation,6,"$8,500",Media,"$2,000",Media,$500,,,Media,"$1,500",None,$0,Media,"$1,500",Media,"$1,500",None,$0,Media,"$1,500",None,$0
DreamHost,3,"$8,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",Reception,"$2,500",Reception,"$2,500"
Stickermule,5,"$8,000",Media,"$2,000",None,$0,,,Media,"$1,500",Media,"$1,500",Media,"$1,500",None,$0,Media,"$1,500",None,$0,None,$0
TeleSign,2,"$8,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Gold,"$5,000",Silver,"$3,000"
All Things Open,3,"$7,500",None,$0,None,$0,,,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,Media,"$1,500",None,$0,None,$0
Symantec,3,"$7,500",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",Silver,"$3,000",None,$0,Speaker Track,"$1,500",None,$0
Usenix,5,"$7,500",None,$0,None,$0,,,Media,"$1,500",None,$0,Media,"$1,500",None,$0,Media,"$1,500",Media,"$1,500",Media,"$1,500"
Calyptia,2,"$7,000",Silver,"$3,500",Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Camunda,2,"$7,000",Silver,"$3,500",Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
